Order_ID,Order_Date,City,State,Category,Quantity,Unit_Price_INR,Discount,Sales_INR,Profit_INR,Payment_Method,Channel
IN100056,2024-02-08,Hyderabad,Telangana,Electronics,1,3952.99,0.2,3162.39,758.97,Credit Card,Store
IN100057,2024-10-05,Delhi,Delhi,Electronics,5,4098.21,0.1,18441.94,4426.07,UPI,Store
IN100058,2025-09-16,Pune,Maharashtra,Grocery,2,475.4,0.2,760.64,167.34,UPI,Online
IN100059,2025-01-10,Pune,Maharashtra,Grocery,5,533.64,0.0,2668.2,587.0,Credit Card,Online
IN100060,2025-09-30,Lucknow,Uttar Pradesh,Clothing,5,1249.49,0.2,4997.96,1399.43,Credit Card,Store
IN100061,2024-02-10,Hyderabad,Telangana,Grocery,3,512.56,0.1,1383.91,304.46,Debit Card,Store
IN100062,2025-10-31,Pune,Maharashtra,Grocery,3,660.11,0.0,1980.33,435.67,UPI,Online
IN100063,2025-12-18,Delhi,Delhi,Electronics,4,3901.87,0.05,14827.11,3558.51,Cash,Store
IN100064,2024-02-16,Lucknow,Uttar Pradesh,Grocery,4,856.87,0.0,3427.48,754.05,UPI,Store
IN100065,2025-04-28,Delhi,Delhi,Home & Kitchen,5,2300.8,0.15,9778.4,2933.52,Cash,Store
IN100066,2024-07-03,Lucknow,Uttar Pradesh,Home & Kitchen,1,1795.08,0.1,1615.57,484.67,Credit Card,Store
IN100067,2024-03-12,Hyderabad,Telangana,Grocery,4,723.92,0.0,2895.68,637.05,Credit Card,Store
IN100068,2025-07-22,Ahmedabad,Gujarat,Grocery,5,552.47,0.05,2624.23,577.33,Cash,Online
IN100069,2025-07-27,Kolkata,West Bengal,Electronics,5,3078.26,0.1,13852.17,3324.52,UPI,Store
IN100070,2024-12-07,Jaipur,Rajasthan,Clothing,5,1772.78,0.0,8863.9,2481.89,UPI,Online
IN100071,2025-07-22,Ahmedabad,Gujarat,Electronics,5,2300.73,0.1,10353.28,2484.79,Credit Card,Store
IN100072,2024-08-30,Chennai,Tamil Nadu,Beauty,5,941.66,0.15,4002.06,1280.66,UPI,Online
IN100073,2024-11-23,Delhi,Delhi,Electronics,3,4055.42,0.1,10949.63,2627.91,Credit Card,Store
IN100074,2025-09-27,Chennai,Tamil Nadu,Electronics,2,2493.78,0.1,4488.8,1077.31,UPI,Online
IN100075,2024-06-01,Ahmedabad,Gujarat,Beauty,2,1204.79,0.05,2289.1,732.51,Cash,Online
IN100076,2024-09-11,Lucknow,Uttar Pradesh,Beauty,5,637.25,0.0,3186.25,1019.6,Debit Card,Online
IN100077,2025-12-29,Jaipur,Rajasthan,Home & Kitchen,4,2296.76,0.2,7349.63,2204.89,UPI,Store
IN100078,2025-02-27,Jaipur,Rajasthan,Electronics,1,2975.64,0.25,2231.73,535.62,Cash,Store
IN100079,2024-08-19,Mumbai,Maharashtra,Electronics,5,2516.0,0.1,11322.0,2717.28,UPI,Store
IN100080,2025-06-12,Jaipur,Rajasthan,Clothing,1,1123.2,0.05,1067.04,298.77,UPI,Online
IN100081,2025-08-14,Kolkata,West Bengal,Electronics,3,3698.45,0.1,9985.81,2396.59,UPI,Online
IN100082,2025-05-10,Jaipur,Rajasthan,Electronics,2,4051.1,0.2,6481.76,1555.62,Debit Card,Store
IN100083,2024-06-24,Ahmedabad,Gujarat,Clothing,3,1563.37,0.15,3986.59,1116.25,Credit Card,Store
IN100084,2025-07-04,Mumbai,Maharashtra,Beauty,4,1173.3,0.2,3754.56,1201.46,Debit Card,Store
IN100085,2024-05-22,Ahmedabad,Gujarat,Clothing,4,1746.66,0.05,6637.31,1858.45,UPI,Store
IN100086,2024-01-17,Ahmedabad,Gujarat,Grocery,5,458.82,0.15,1949.98,429.0,Net Banking,Store
IN100087,2024-09-05,Bengaluru,Karnataka,Grocery,4,737.83,0.15,2508.62,551.9,Debit Card,Online
IN100088,2024-02-04,Mumbai,Maharashtra,Clothing,4,1257.22,0.1,4525.99,1267.28,UPI,Store
IN100089,2024-05-25,Ahmedabad,Gujarat,Grocery,3,647.03,0.1,1746.98,384.34,Debit Card,Store
IN100090,2025-12-27,Bengaluru,Karnataka,Electronics,1,2435.58,0.1,2192.02,526.08,Credit Card,Store
IN100091,2024-06-13,Bengaluru,Karnataka,Electronics,2,2826.77,0.2,4522.83,1085.48,UPI,Store
IN100092,2024-04-20,Mumbai,Maharashtra,Grocery,4,722.31,0.25,2166.93,476.72,UPI,Online
IN100093,2025-10-08,Chennai,Tamil Nadu,Electronics,4,2694.23,0.0,10776.92,2586.46,UPI,Online
IN100094,2024-03-14,Lucknow,Uttar Pradesh,Beauty,3,1008.81,0.1,2723.79,871.61,Cash,Online
IN100095,2025-10-29,Kolkata,West Bengal,Electronics,2,4159.91,0.25,6239.86,1497.57,Credit Card,Online
IN100096,2025-12-27,Lucknow,Uttar Pradesh,Grocery,3,457.09,0.0,1371.27,301.68,UPI,Store
IN100097,2024-12-19,Jaipur,Rajasthan,Clothing,1,1695.05,0.1,1525.54,427.15,UPI,Store
IN100098,2024-09-30,Kolkata,West Bengal,Electronics,3,3573.94,0.0,10721.82,2573.24,Credit Card,Online
IN100099,2024-10-05,Jaipur,Rajasthan,Electronics,2,2337.0,0.0,4674.0,1121.76,Credit Card,Online
IN100100,2025-10-21,Ahmedabad,Gujarat,Grocery,2,788.85,0.25,1183.28,260.32,Debit Card,Store
IN100101,2024-01-31,Delhi,Delhi,Home & Kitchen,4,1522.69,0.1,5481.68,1644.5,Net Banking,Store
IN100102,2025-06-09,Mumbai,Maharashtra,Home & Kitchen,1,1571.01,0.15,1335.36,400.61,Credit Card,Online
IN100103,2025-06-18,Kolkata,West Bengal,Grocery,5,494.51,0.0,2472.55,543.96,UPI,Store
IN100104,2025-05-24,Kolkata,West Bengal,Home & Kitchen,4,1885.22,0.0,7540.88,2262.26,UPI,Online
IN100105,2025-05-28,Ahmedabad,Gujarat,Grocery,3,665.5,0.2,1597.2,351.38,Cash,Online
IN100106,2024-06-26,Chennai,Tamil Nadu,Home & Kitchen,3,1666.19,0.1,4498.71,1349.61,UPI,Online
IN100107,2024-11-24,Bengaluru,Karnataka,Grocery,2,526.3,0.0,1052.6,231.57,UPI,Online
IN100108,2025-07-24,Ahmedabad,Gujarat,Grocery,2,809.04,0.3,1132.66,249.19,Debit Card,Online
IN100109,2025-11-18,Pune,Maharashtra,Home & Kitchen,2,2285.36,0.1,4113.65,1234.1,UPI,Store
IN100110,2024-06-20,Bengaluru,Karnataka,Clothing,5,1471.93,0.1,6623.68,1854.63,UPI,Store
IN100111,2025-01-30,Mumbai,Maharashtra,Home & Kitchen,5,1545.74,0.15,6569.4,1970.82,Debit Card,Online
IN100112,2025-08-17,Bengaluru,Karnataka,Grocery,4,495.61,0.0,1982.44,436.14,UPI,Online
IN100113,2024-02-04,Chennai,Tamil Nadu,Electronics,5,4046.57,0.1,18209.57,4370.3,UPI,Online
IN100114,2024-10-23,Bengaluru,Karnataka,Electronics,2,2439.79,0.15,4147.64,995.43,Credit Card,Store
IN100115,2025-04-13,Mumbai,Maharashtra,Clothing,4,991.99,0.05,3769.56,1055.48,Credit Card,Store
IN100116,2025-05-09,Chennai,Tamil Nadu,Grocery,4,653.32,0.15,2221.29,488.68,UPI,Online
IN100117,2025-09-13,Lucknow,Uttar Pradesh,Home & Kitchen,1,2115.59,0.05,2009.81,602.94,Net Banking,Online
IN100118,2024-08-22,Kolkata,West Bengal,Electronics,5,3191.68,0.15,13564.64,3255.51,UPI,Store
IN100119,2024-02-08,Kolkata,West Bengal,Home & Kitchen,3,1320.15,0.0,3960.45,1188.14,Debit Card,Online
IN100120,2024-08-06,Jaipur,Rajasthan,Home & Kitchen,3,2067.33,0.25,4651.49,1395.45,UPI,Online
IN100121,2024-08-04,Lucknow,Uttar Pradesh,Electronics,1,3576.05,0.2,2860.84,686.6,Credit Card,Store
IN100122,2025-12-06,Lucknow,Uttar Pradesh,Home & Kitchen,2,2057.39,0.0,4114.78,1234.43,UPI,Online
IN100123,2025-11-05,Bengaluru,Karnataka,Beauty,1,753.55,0.25,565.16,180.85,UPI,Online
IN100124,2025-09-19,Kolkata,West Bengal,Home & Kitchen,2,2190.97,0.1,3943.75,1183.13,UPI,Online
IN100125,2025-11-03,Mumbai,Maharashtra,Home & Kitchen,5,1820.63,0.15,7737.68,2321.3,Credit Card,Online
IN100126,2025-08-23,Hyderabad,Telangana,Beauty,5,943.77,0.2,3775.08,1208.03,Credit Card,Store
IN100127,2025-02-23,Hyderabad,Telangana,Grocery,4,685.61,0.0,2742.44,603.34,UPI,Store
IN100128,2025-10-14,Chennai,Tamil Nadu,Clothing,4,1240.99,0.0,4963.96,1389.91,Net Banking,Store
IN100129,2024-06-22,Kolkata,West Bengal,Home & Kitchen,4,1552.66,0.05,5900.11,1770.03,UPI,Store
IN100130,2025-12-13,Kolkata,West Bengal,Grocery,4,457.01,0.1,1645.24,361.95,Credit Card,Store
IN100131,2024-04-22,Hyderabad,Telangana,Grocery,3,622.57,0.05,1774.32,390.35,UPI,Store
IN100132,2024-06-22,Kolkata,West Bengal,Clothing,4,1421.44,0.1,5117.18,1432.81,Credit Card,Store
IN100133,2024-03-14,Bengaluru,Karnataka,Home & Kitchen,4,2129.08,0.0,8516.32,2554.9,Debit Card,Online
IN100134,2025-09-28,Pune,Maharashtra,Electronics,4,2378.58,0.15,8087.17,1940.92,Credit Card,Online
IN100135,2025-06-19,Delhi,Delhi,Beauty,2,1170.53,0.0,2341.06,749.14,UPI,Store
IN100136,2024-02-01,Lucknow,Uttar Pradesh,Clothing,4,1220.2,0.05,4636.76,1298.29,UPI,Store
IN100137,2024-09-10,Jaipur,Rajasthan,Electronics,1,3002.78,0.0,3002.78,720.67,Debit Card,Online
IN100138,2025-05-11,Chennai,Tamil Nadu,Clothing,4,1024.01,0.15,3481.63,974.86,UPI,Store
IN100139,2024-04-22,Pune,Maharashtra,Electronics,4,3598.52,0.2,11515.26,2763.66,UPI,Store
IN100140,2024-07-13,Hyderabad,Telangana,Grocery,3,754.52,0.0,2263.56,497.98,UPI,Online
IN100141,2025-06-11,Lucknow,Uttar Pradesh,Beauty,4,1173.34,0.2,3754.69,1201.5,UPI,Store
IN100142,2025-03-16,Kolkata,West Bengal,Home & Kitchen,2,1654.09,0.2,2646.54,793.96,UPI,Online
IN100143,2025-05-03,Jaipur,Rajasthan,Electronics,5,2775.33,0.3,9713.65,2331.28,Cash,Store
IN100144,2025-05-11,Kolkata,West Bengal,Electronics,4,3750.26,0.1,13500.94,3240.23,Debit Card,Online
IN100145,2025-12-24,Mumbai,Maharashtra,Home & Kitchen,4,2086.96,0.05,7930.45,2379.14,Credit Card,Store
IN100146,2025-09-11,Mumbai,Maharashtra,Beauty,4,1178.22,0.05,4477.24,1432.72,UPI,Online
IN100147,2024-01-24,Jaipur,Rajasthan,Clothing,3,1166.84,0.05,3325.49,931.14,Credit Card,Online
IN100148,2024-10-16,Jaipur,Rajasthan,Grocery,5,752.99,0.15,3200.21,704.05,Credit Card,Store
IN100149,2024-11-03,Hyderabad,Telangana,Clothing,3,1040.85,0.1,2810.29,786.88,Credit Card,Online
IN100150,2024-10-30,Jaipur,Rajasthan,Beauty,3,911.02,0.15,2323.1,743.39,UPI,Online
IN100151,2025-09-22,Bengaluru,Karnataka,Grocery,3,505.44,0.0,1516.32,333.59,Net Banking,Online
IN100152,2025-11-23,Kolkata,West Bengal,Clothing,2,1574.36,0.0,3148.72,881.64,Credit Card,Store
IN100153,2024-02-07,Pune,Maharashtra,Clothing,5,1527.33,0.3,5345.66,1496.78,Net Banking,Store
IN100154,2025-01-20,Ahmedabad,Gujarat,Beauty,2,658.57,0.3,922.0,295.04,UPI,Online
IN100155,2025-08-03,Jaipur,Rajasthan,Electronics,2,2904.81,0.15,4938.18,1185.16,UPI,Store
IN100156,2024-03-22,Chennai,Tamil Nadu,Clothing,5,1339.48,0.05,6362.53,1781.51,UPI,Store
IN100157,2024-04-27,Mumbai,Maharashtra,Grocery,2,559.81,0.25,839.71,184.74,Debit Card,Store
IN100158,2024-02-19,Bengaluru,Karnataka,Electronics,5,2320.43,0.05,11022.04,2645.29,UPI,Online
IN100159,2025-10-30,Lucknow,Uttar Pradesh,Electronics,4,2903.15,0.15,9870.71,2368.97,Cash,Store
IN100160,2024-03-14,Ahmedabad,Gujarat,Home & Kitchen,3,2187.37,0.0,6562.11,1968.63,Cash,Online
IN100161,2025-11-25,Pune,Maharashtra,Beauty,2,840.66,0.15,1429.12,457.32,Debit Card,Online
IN100162,2024-04-15,Ahmedabad,Gujarat,Home & Kitchen,5,1638.34,0.15,6962.94,2088.88,Debit Card,Online
IN100163,2025-12-01,Jaipur,Rajasthan,Beauty,1,1180.93,0.2,944.74,302.32,Debit Card,Online
IN100164,2025-08-21,Hyderabad,Telangana,Grocery,2,472.59,0.15,803.4,176.75,Debit Card,Online
IN100165,2024-11-21,Mumbai,Maharashtra,Home & Kitchen,2,2157.73,0.25,3236.6,970.98,UPI,Store
IN100166,2025-11-14,Mumbai,Maharashtra,Clothing,5,1419.62,0.1,6388.29,1788.72,Debit Card,Online
IN100167,2024-12-21,Lucknow,Uttar Pradesh,Grocery,1,854.04,0.15,725.93,159.7,Cash,Online
IN100168,2025-04-12,Hyderabad,Telangana,Beauty,1,860.18,0.05,817.17,261.49,UPI,Online
IN100169,2025-10-17,Kolkata,West Bengal,Clothing,4,1624.32,0.0,6497.28,1819.24,Net Banking,Online
IN100170,2024-10-10,Delhi,Delhi,Clothing,2,1043.64,0.15,1774.19,496.77,UPI,Online
IN100171,2024-07-03,Bengaluru,Karnataka,Grocery,3,847.41,0.2,2033.78,447.43,UPI,Online
IN100172,2024-06-02,Mumbai,Maharashtra,Electronics,2,2956.65,0.0,5913.3,1419.19,UPI,Online
IN100173,2024-04-27,Chennai,Tamil Nadu,Electronics,3,3329.93,0.0,9989.79,2397.55,UPI,Online
IN100174,2024-09-23,Mumbai,Maharashtra,Home & Kitchen,3,1422.02,0.0,4266.06,1279.82,Cash,Online
IN100175,2025-01-19,Ahmedabad,Gujarat,Beauty,5,1183.15,0.2,4732.6,1514.43,Net Banking,Online
IN100176,2024-09-11,Mumbai,Maharashtra,Clothing,2,1592.4,0.05,3025.56,847.16,Debit Card,Store
IN100177,2024-08-28,Mumbai,Maharashtra,Electronics,5,2352.21,0.05,11173.0,2681.52,Net Banking,Store
IN100178,2024-06-19,Delhi,Delhi,Electronics,4,2562.83,0.0,10251.32,2460.32,UPI,Store
IN100179,2025-09-08,Delhi,Delhi,Beauty,3,863.9,0.05,2462.11,787.88,UPI,Online
IN100180,2025-07-01,Pune,Maharashtra,Clothing,1,1177.26,0.15,1000.67,280.19,Credit Card,Store
IN100181,2025-07-31,Kolkata,West Bengal,Clothing,3,1257.21,0.25,2828.72,792.04,Cash,Store
IN100182,2024-07-03,Chennai,Tamil Nadu,Grocery,4,876.44,0.05,3330.47,732.7,UPI,Online
IN100183,2025-12-02,Mumbai,Maharashtra,Clothing,3,1579.37,0.05,4501.2,1260.34,Net Banking,Online
IN100184,2025-10-28,Mumbai,Maharashtra,Grocery,5,844.64,0.2,3378.56,743.28,Debit Card,Online
IN100185,2025-02-13,Bengaluru,Karnataka,Home & Kitchen,2,1769.88,0.2,2831.81,849.54,Net Banking,Online
IN100186,2025-10-14,Delhi,Delhi,Grocery,1,755.09,0.05,717.34,157.81,UPI,Online
IN100187,2025-08-10,Chennai,Tamil Nadu,Grocery,5,649.22,0.0,3246.1,714.14,Credit Card,Store
IN100188,2024-05-25,Lucknow,Uttar Pradesh,Clothing,2,1278.68,0.3,1790.15,501.24,Debit Card,Online
IN100189,2024-02-07,Pune,Maharashtra,Home & Kitchen,1,1867.43,0.15,1587.32,476.2,Cash,Store
IN100190,2025-05-04,Kolkata,West Bengal,Grocery,4,635.54,0.25,1906.62,419.46,UPI,Online
IN100191,2024-09-18,Hyderabad,Telangana,Electronics,3,4279.52,0.05,12196.63,2927.19,Net Banking,Online
IN100192,2024-05-05,Kolkata,West Bengal,Grocery,1,664.63,0.15,564.94,124.29,Cash,Store
IN100193,2025-08-26,Ahmedabad,Gujarat,Clothing,4,1718.11,0.15,5841.57,1635.64,UPI,Store
IN100194,2024-12-10,Mumbai,Maharashtra,Home & Kitchen,2,2040.18,0.2,3264.29,979.29,UPI,Online
IN100195,2024-09-17,Pune,Maharashtra,Clothing,1,1416.46,0.3,991.52,277.63,Credit Card,Online
IN100196,2025-03-18,Ahmedabad,Gujarat,Beauty,4,907.38,0.0,3629.52,1161.45,Credit Card,Store
IN100197,2024-04-17,Chennai,Tamil Nadu,Electronics,2,2951.13,0.15,5016.92,1204.06,Debit Card,Online
IN100198,2025-07-10,Hyderabad,Telangana,Home & Kitchen,5,1385.17,0.05,6579.56,1973.87,UPI,Online
IN100199,2025-03-12,Delhi,Delhi,Grocery,3,776.72,0.2,1864.13,410.11,Debit Card,Store
IN100200,2025-05-28,Pune,Maharashtra,Home & Kitchen,4,2334.17,0.15,7936.18,2380.85,Debit Card,Online
IN100201,2025-12-13,Pune,Maharashtra,Clothing,5,1178.34,0.2,4713.36,1319.74,UPI,Online
IN100202,2024-03-30,Mumbai,Maharashtra,Grocery,2,846.1,0.05,1607.59,353.67,Credit Card,Online
IN100203,2024-08-02,Jaipur,Rajasthan,Home & Kitchen,1,1531.8,0.0,1531.8,459.54,UPI,Online
IN100204,2025-09-18,Pune,Maharashtra,Clothing,3,1462.37,0.0,4387.11,1228.39,UPI,Store
IN100205,2024-11-14,Bengaluru,Karnataka,Clothing,2,1292.7,0.05,2456.13,687.72,Credit Card,Online
IN100206,2025-08-26,Hyderabad,Telangana,Grocery,4,503.38,0.05,1912.84,420.82,Net Banking,Store
IN100207,2025-11-28,Hyderabad,Telangana,Grocery,3,477.32,0.25,1073.97,236.27,UPI,Online
IN100208,2025-10-31,Bengaluru,Karnataka,Clothing,5,1312.47,0.1,5906.12,1653.71,UPI,Online
IN100209,2024-02-26,Lucknow,Uttar Pradesh,Clothing,3,1023.08,0.1,2762.32,773.45,UPI,Online
IN100210,2025-07-12,Bengaluru,Karnataka,Clothing,5,1074.83,0.2,4299.32,1203.81,UPI,Store
IN100211,2025-02-05,Bengaluru,Karnataka,Home & Kitchen,2,1426.49,0.2,2282.38,684.71,UPI,Store
IN100212,2024-08-09,Hyderabad,Telangana,Grocery,1,455.81,0.1,410.23,90.25,Debit Card,Online
IN100213,2025-04-19,Kolkata,West Bengal,Home & Kitchen,3,1439.31,0.0,4317.93,1295.38,UPI,Online
IN100214,2024-04-17,Hyderabad,Telangana,Beauty,1,967.71,0.05,919.32,294.18,Net Banking,Online
IN100215,2024-06-28,Jaipur,Rajasthan,Grocery,1,801.25,0.1,721.12,158.65,UPI,Store
IN100216,2024-06-25,Mumbai,Maharashtra,Electronics,3,2642.33,0.15,6737.94,1617.11,Cash,Online
IN100217,2025-05-01,Ahmedabad,Gujarat,Electronics,3,2408.22,0.15,6140.96,1473.83,Cash,Store
IN100218,2025-02-17,Kolkata,West Bengal,Clothing,1,1643.86,0.15,1397.28,391.24,Credit Card,Store
IN100219,2025-11-22,Delhi,Delhi,Beauty,4,634.78,0.2,2031.3,650.02,UPI,Online
IN100220,2024-02-06,Ahmedabad,Gujarat,Grocery,4,765.18,0.2,2448.58,538.69,Credit Card,Online
IN100221,2025-07-28,Mumbai,Maharashtra,Clothing,3,1099.32,0.3,2308.57,646.4,Debit Card,Online
IN100222,2024-09-24,Jaipur,Rajasthan,Clothing,1,1187.74,0.2,950.19,266.05,Cash,Store
IN100223,2025-01-22,Jaipur,Rajasthan,Grocery,1,505.73,0.0,505.73,111.26,Credit Card,Store
IN100224,2024-12-19,Delhi,Delhi,Grocery,2,559.5,0.0,1119.0,246.18,UPI,Online
IN100225,2024-09-26,Kolkata,West Bengal,Electronics,1,3900.21,0.1,3510.19,842.45,Cash,Online
IN100226,2024-09-25,Lucknow,Uttar Pradesh,Beauty,4,707.54,0.15,2405.64,769.8,Net Banking,Online
IN100227,2025-03-17,Bengaluru,Karnataka,Grocery,2,875.03,0.15,1487.55,327.26,Debit Card,Store
IN100228,2024-10-31,Kolkata,West Bengal,Electronics,4,2920.36,0.05,11097.37,2663.37,Cash,Online
IN100229,2024-09-02,Lucknow,Uttar Pradesh,Beauty,5,1169.35,0.2,4677.4,1496.77,Credit Card,Online
IN100230,2024-06-26,Jaipur,Rajasthan,Electronics,3,2635.27,0.05,7510.52,1802.52,Debit Card,Online
IN100231,2024-03-07,Hyderabad,Telangana,Beauty,5,739.92,0.25,2774.7,887.9,Debit Card,Online
IN100232,2024-10-03,Mumbai,Maharashtra,Beauty,3,960.72,0.1,2593.94,830.06,Debit Card,Online
IN100233,2024-07-26,Delhi,Delhi,Grocery,4,476.38,0.0,1905.52,419.21,UPI,Online
IN100234,2024-11-02,Mumbai,Maharashtra,Home & Kitchen,4,2197.17,0.0,8788.68,2636.6,Credit Card,Online
IN100235,2025-07-03,Chennai,Tamil Nadu,Clothing,5,1380.05,0.0,6900.25,1932.07,Credit Card,Store
IN100236,2025-09-22,Chennai,Tamil Nadu,Beauty,3,1039.03,0.0,3117.09,997.47,UPI,Online
