Customer_ID,City,Age_Band,Gender,Acquisition_Channel,First_Purchase_Date,Total_Orders,Total_Revenue,Last_Purchase_Date,Churned
C58,Pune,35-44,M,App,2025-06-21,5,36384,2026-05-25,0
C59,Delhi,55+,M,Marketplace,2025-09-05,8,13788,2026-01-15,0
C60,Hyderabad,55+,F,Marketplace,2026-03-23,17,18202,2026-05-24,0
C61,Hyderabad,35-44,M,Marketplace,2025-10-04,2,10659,2026-04-03,0
C62,Bangalore,55+,M,App,2025-11-26,12,48224,2026-05-21,0
C63,Delhi,25-34,M,Website,2025-11-12,15,7624,2026-01-06,0
C64,Pune,25-34,M,Website,2024-08-20,13,41258,2025-07-25,0
C65,Mumbai,45-54,F,App,2025-01-24,7,38340,2025-11-15,0
C66,Chennai,45-54,F,App,2025-07-24,19,44202,2026-01-16,0
C67,Bangalore,55+,F,Website,2025-03-10,2,1265,2025-09-06,0
C68,Chennai,18-24,F,Website,2025-01-30,14,26312,2025-11-17,0
C69,Delhi,45-54,F,App,2024-07-30,10,19454,2025-08-31,0
C70,Delhi,25-34,M,Website,2025-07-31,18,37057,2026-05-11,0
C71,Chennai,35-44,F,Offline,2026-05-29,20,20314,2025-12-27,0
C72,Hyderabad,35-44,F,Offline,2025-04-15,13,27112,2025-09-05,0
C73,Delhi,35-44,M,Website,2025-06-24,19,3312,2025-10-25,0
C74,Chennai,25-34,F,Offline,2024-09-09,17,36684,2025-10-14,0
C75,Chennai,18-24,F,Offline,2025-04-30,17,42909,2026-06-24,0
C76,Mumbai,18-24,F,Marketplace,2024-08-08,14,16342,2025-09-24,0
C77,Mumbai,25-34,M,Marketplace,2026-05-06,20,1220,2025-11-19,0
C78,Pune,45-54,F,Offline,2024-11-16,1,32592,2025-09-09,1
C79,Delhi,18-24,F,Website,2024-11-01,7,41480,2026-04-27,0
C80,Chennai,55+,F,Marketplace,2025-10-08,17,573,2026-05-21,0
C81,Mumbai,55+,M,App,2025-07-10,13,10780,2026-06-25,0
C82,Mumbai,45-54,F,App,2026-04-21,4,45545,2025-08-10,0
C83,Pune,55+,F,App,2024-12-13,12,11185,2025-08-19,0
C84,Hyderabad,25-34,M,Marketplace,2024-10-08,5,27263,2026-03-03,0
C85,Hyderabad,35-44,M,Marketplace,2024-12-07,3,15527,2025-12-18,0
C86,Pune,35-44,F,Offline,2026-04-28,11,13497,2026-01-31,0
C87,Hyderabad,45-54,F,Marketplace,2025-04-26,8,17987,2026-01-16,0
C88,Bangalore,45-54,F,Marketplace,2025-07-23,8,44740,2026-05-21,0
C89,Pune,55+,M,App,2024-09-08,19,26368,2025-11-12,0
C90,Hyderabad,25-34,M,App,2025-02-19,5,43344,2025-08-20,0
C91,Chennai,55+,F,Marketplace,2025-06-19,3,13895,2025-11-14,0
C92,Mumbai,45-54,M,App,2025-01-12,3,31873,2025-08-08,0
C93,Bangalore,45-54,M,Website,2025-04-16,8,979,2025-07-21,0
C94,Chennai,18-24,M,Marketplace,2024-09-29,13,18911,2025-10-08,0
C95,Mumbai,55+,M,Marketplace,2025-01-14,8,19703,2026-05-19,0
C96,Bangalore,55+,M,Marketplace,2025-02-03,5,9229,2025-08-13,0
C97,Mumbai,55+,M,App,2024-10-12,19,17990,2025-11-04,0
C98,Pune,18-24,M,Website,2026-01-22,10,7710,2025-09-25,0
C99,Delhi,55+,F,Offline,2026-01-17,1,15233,2025-11-10,1
C100,Bangalore,35-44,F,App,2024-08-26,19,5153,2025-08-08,0
C101,Delhi,55+,M,Website,2026-02-06,19,10568,2025-12-27,0
C102,Delhi,45-54,F,Marketplace,2026-03-17,8,20359,2025-10-12,0
C103,Chennai,35-44,F,Offline,2026-05-20,15,19141,2026-04-26,0
C104,Hyderabad,55+,F,Offline,2025-11-09,6,38307,2026-05-16,0
C105,Mumbai,55+,F,Marketplace,2024-12-28,18,5263,2025-12-22,0
C106,Pune,45-54,F,Marketplace,2025-09-02,14,48843,2026-03-14,0
C107,Hyderabad,55+,M,Website,2025-04-17,13,37631,2025-09-19,0
C108,Mumbai,35-44,M,Marketplace,2026-05-30,20,28960,2025-07-11,0
C109,Hyderabad,25-34,M,Website,2025-08-24,17,35130,2025-09-18,0
C110,Bangalore,45-54,F,Offline,2026-05-04,3,47650,2025-09-09,0
C111,Pune,18-24,M,Marketplace,2025-02-15,3,42575,2026-06-25,0
C112,Hyderabad,55+,M,Offline,2025-02-09,2,29370,2025-09-06,0
C113,Hyderabad,45-54,M,Offline,2024-09-17,19,27915,2025-08-24,0
C114,Bangalore,25-34,F,App,2025-12-28,20,41949,2025-10-14,0
C115,Bangalore,55+,F,Website,2025-01-16,17,3538,2026-02-16,0
C116,Pune,25-34,F,Website,2025-06-12,17,22192,2026-03-03,0
C117,Chennai,45-54,M,Offline,2024-11-29,5,17376,2025-07-12,0
C118,Hyderabad,35-44,M,App,2025-02-17,18,43454,2026-07-01,0
C119,Delhi,18-24,F,Offline,2025-08-31,11,33469,2025-08-11,0
C120,Mumbai,18-24,M,Marketplace,2025-12-11,8,35512,2026-06-02,0
C121,Pune,45-54,M,App,2024-07-30,20,46108,2025-07-28,0
C122,Hyderabad,55+,F,App,2025-06-23,17,23201,2026-02-24,0
C123,Pune,45-54,M,Website,2024-07-14,20,48091,2025-07-21,0
C124,Pune,55+,M,App,2024-11-28,14,44665,2025-07-29,0
C125,Mumbai,55+,M,App,2025-12-04,18,32732,2026-01-27,0
C126,Mumbai,25-34,M,Offline,2025-09-15,11,35888,2025-09-21,0
C127,Mumbai,18-24,F,App,2026-04-12,3,9557,2026-02-17,0
C128,Mumbai,45-54,M,Website,2026-03-30,20,7834,2026-02-16,0
C129,Bangalore,45-54,F,Website,2025-05-21,10,20872,2026-03-11,0
C130,Pune,25-34,F,Offline,2025-10-19,18,18947,2026-04-11,0
C131,Mumbai,35-44,M,App,2024-12-20,8,8706,2025-12-04,0
C132,Delhi,55+,F,Website,2025-01-02,5,20911,2026-05-16,0
C133,Pune,18-24,F,Website,2025-12-04,19,4285,2025-10-13,0
C134,Chennai,35-44,M,Website,2025-03-30,16,22761,2026-01-17,0
C135,Bangalore,35-44,M,Website,2025-12-30,13,25142,2025-08-22,0
C136,Chennai,25-34,F,Marketplace,2026-05-16,4,40281,2025-09-30,0
C137,Delhi,45-54,F,Marketplace,2026-02-24,13,16464,2026-04-18,0
C138,Pune,45-54,M,Offline,2024-07-24,9,4056,2026-03-01,0
C139,Hyderabad,25-34,F,Offline,2025-09-21,19,14278,2026-06-27,0
C140,Mumbai,55+,M,Marketplace,2025-02-28,14,29222,2026-04-29,0
C141,Chennai,55+,F,App,2025-12-08,12,35950,2025-10-26,0
C142,Hyderabad,35-44,F,App,2024-08-14,12,15357,2025-11-01,0
C143,Mumbai,25-34,M,Marketplace,2025-02-18,14,3898,2025-11-19,0
C144,Bangalore,55+,F,Offline,2025-07-04,11,42058,2025-07-25,0
C145,Pune,35-44,F,App,2024-11-22,1,49526,2026-04-06,1
C146,Hyderabad,25-34,F,Website,2025-01-03,11,8217,2025-07-20,0
C147,Pune,35-44,M,Website,2026-05-16,7,10878,2026-06-06,0
C148,Pune,35-44,M,Offline,2025-05-18,13,42915,2026-04-09,0
C149,Mumbai,25-34,F,Offline,2025-04-23,19,32558,2026-01-08,0
C150,Hyderabad,35-44,F,Website,2026-03-13,20,11730,2025-10-23,0
C151,Mumbai,25-34,F,Offline,2024-09-28,16,48320,2026-04-22,0
C152,Pune,55+,M,App,2025-05-11,7,35262,2026-06-23,0
C153,Pune,45-54,M,Offline,2026-04-20,8,20887,2026-01-25,0
C154,Delhi,45-54,M,Offline,2024-10-17,15,11585,2025-11-30,0
C155,Pune,18-24,F,App,2026-05-09,18,42455,2025-12-11,0
C156,Delhi,45-54,M,Marketplace,2024-10-17,2,20889,2026-06-08,0
C157,Mumbai,18-24,F,App,2026-05-28,13,42847,2025-09-19,0
C158,Bangalore,25-34,F,Offline,2025-10-31,10,37918,2025-11-23,0
C159,Delhi,18-24,M,Website,2025-04-13,20,24398,2025-10-16,0
C160,Bangalore,18-24,M,Marketplace,2025-02-08,3,47547,2025-12-27,0
C161,Delhi,18-24,F,Offline,2025-04-01,16,42087,2026-06-17,0
C162,Mumbai,55+,M,App,2025-04-10,15,47463,2026-06-13,0
C163,Mumbai,18-24,M,Offline,2025-07-02,10,5008,2026-04-11,0
C164,Mumbai,55+,F,Website,2025-06-22,3,15740,2025-10-27,0
C165,Pune,45-54,M,Website,2025-09-08,18,13955,2026-04-03,0
C166,Pune,35-44,M,Website,2025-06-15,11,40423,2026-06-23,0
C167,Hyderabad,55+,M,Offline,2025-03-04,5,14669,2026-01-15,0
C168,Pune,55+,F,Marketplace,2025-04-05,18,7129,2026-07-01,0
C169,Pune,45-54,M,Website,2025-11-10,13,37718,2025-07-08,0
C170,Delhi,55+,M,Marketplace,2025-12-26,8,21951,2026-06-01,0
C171,Chennai,25-34,F,Offline,2024-12-10,3,43199,2026-06-16,0
C172,Delhi,18-24,F,Website,2024-09-12,20,5960,2026-03-19,0
C173,Chennai,45-54,F,Offline,2024-08-30,14,2339,2025-11-16,0
C174,Delhi,35-44,F,App,2025-11-21,8,7900,2025-11-15,0
C175,Mumbai,45-54,F,App,2024-11-16,10,13671,2025-09-25,0
C176,Pune,18-24,F,Marketplace,2025-04-29,15,36959,2025-07-10,0
C177,Bangalore,25-34,M,Website,2025-09-01,18,47329,2026-03-15,0
C178,Delhi,25-34,M,Website,2025-01-25,6,40663,2025-07-20,0
C179,Mumbai,18-24,F,Offline,2026-04-18,15,27569,2026-04-23,0
C180,Chennai,45-54,F,Offline,2024-09-08,2,12501,2026-01-30,0
C181,Delhi,55+,M,Website,2026-05-20,17,25484,2026-02-19,0
C182,Delhi,45-54,F,App,2025-05-02,14,27596,2026-05-01,0
C183,Bangalore,35-44,M,Offline,2025-11-04,16,18226,2026-03-18,0
C184,Bangalore,25-34,M,App,2025-10-21,5,49920,2025-11-27,0
C185,Chennai,25-34,F,Website,2026-04-04,15,9625,2025-10-17,0
C186,Hyderabad,55+,M,Offline,2024-12-10,17,34470,2026-06-03,0
C187,Hyderabad,45-54,M,Website,2025-02-28,17,22346,2025-10-03,0
C188,Chennai,35-44,F,Offline,2026-03-16,11,13341,2026-05-07,0
C189,Delhi,55+,M,Offline,2025-10-17,4,18839,2025-11-23,0
C190,Bangalore,25-34,M,App,2025-08-23,1,3775,2025-09-22,1
C191,Hyderabad,45-54,F,Marketplace,2025-02-19,17,1535,2025-07-24,0
C192,Hyderabad,45-54,F,Website,2024-10-22,12,16681,2026-02-17,0
C193,Mumbai,18-24,F,Marketplace,2024-12-11,12,9229,2026-04-19,0
C194,Hyderabad,45-54,F,App,2025-11-19,13,40743,2025-08-17,0
C195,Bangalore,25-34,M,Website,2025-09-28,9,26103,2026-03-21,0
C196,Delhi,55+,F,App,2025-05-25,16,41188,2026-07-07,0
C197,Hyderabad,18-24,M,Website,2026-01-29,5,17607,2026-06-08,0
C198,Delhi,35-44,F,Website,2024-08-09,18,7550,2025-12-26,0
C199,Mumbai,45-54,M,App,2026-01-03,20,32471,2026-03-06,0
C200,Mumbai,55+,M,Website,2025-09-25,17,45177,2025-07-12,0
